,cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
0,906780.0,Zamkowa,5,88.9,1,1,Do odświeżenia,True,True,1969.0
1,649000.0,Zamkowa,2,38.65,1,6,Do odświeżenia,True,False,1969.0
2,824000.0,Nowowiejska,2,66.71,4,5,Gotowe do wprowadzenia,True,False,1969.0
3,519800.0,Rudzka,2,35.0,5,10,Gotowe do wprowadzenia,False,True,1969.0
4,639000.0,Brzeska,2,39.5,1,4,Gotowe do wprowadzenia,False,False,1969.0
5,649000.0,Zamkowa,2,40.41,0,6,Do odświeżenia,True,False,1969.0
6,730000.0,Zwycięska,2,54.76,1,4,Gotowe do wprowadzenia,True,True,1969.0
7,970000.0,Jerzego Bajana,4,87.0,5,8,Gotowe do wprowadzenia,True,False,1969.0
8,1051450.0,Racławicka,5,81.0,3,5,Do remontu,True,True,1969.0
9,729000.0,Północna,3,57.6,1,2,Gotowe do wprowadzenia,True,False,1969.0
10,672702.0,Lawendowa,4,70.44,2,2,Do remontu,True,True,1969.0
11,608367.0,Ibn Siny Awicenny,2,48.33,3,3,Do remontu,True,True,1969.0
12,650000.0,Potokowa,2,47.0,0,3,Do remontu,True,True,1969.0
13,849000.0,Rudzka,3,65.0,10,11,Gotowe do wprowadzenia,True,False,1969.0
14,596160.0,Gajowa,2,43.41,1,3,Gotowe do wprowadzenia,False,False,1969.0
15,790000.0,Gajowa,3,75.0,5,6,Gotowe do wprowadzenia,True,False,1969.0
16,598592.0,Lawendowa,3,60.16,0,2,Do remontu,True,True,1969.0
17,619000.0,Zamkowa,2,36.51,4,6,Do odświeżenia,True,False,1969.0
18,799999.0,Poranna,4,81.91,2,3,Gotowe do wprowadzenia,True,True,1969.0
19,699000.0,Rudzka,3,62.28,2,3,Gotowe do wprowadzenia,True,True,1969.0
20,615200.0,Ibn Siny Awicenny,2,47.4,3,3,Do remontu,False,False,1969.0
21,772907.0,Przyjaźni,3,56.09,0,8,Do remontu,False,False,1969.0
22,600000.0,ks. Piotra Skargi,2,52.18,3,4,Do remontu,True,False,1969.0
23,1102733.0,Przyjaźni,4,74.08,1,8,Do remontu,False,False,1969.0
24,656599.0,Przyjaźni,2,40.54,4,8,Do remontu,False,False,1969.0
25,520000.0,Gajowa,2,34.18,10,11,Gotowe do wprowadzenia,True,False,1969.0
26,682370.0,Rudzka,2,52.5,3,6,Do odświeżenia,True,True,1969.0
27,988190.0,Rychtalska,4,74.3,5,7,Do odświeżenia,True,False,1969.0
28,859000.0,Zielna,4,77.38,0,0,Do remontu,True,True,1969.0
29,790000.0,Gajowa,4,83.0,4,4,Gotowe do wprowadzenia,False,True,1969.0
30,699000.0,Hiszpańska,3,62.0,2,4,Gotowe do wprowadzenia,True,False,1969.0
31,889000.0,Strońska,3,64.5,6,6,Gotowe do wprowadzenia,True,True,1969.0
32,870000.0,Kossaka,4,98.0,1,4,Do odświeżenia,False,False,1969.0
33,693366.0,Konińska,3,57.06,4,4,Do odświeżenia,False,True,1969.0
34,589000.0,Zielna,2,45.39,3,5,Do odświeżenia,True,True,1969.0
35,579000.0,Zamkowa,1,34.27,2,6,Do odświeżenia,True,False,1969.0
36,785000.0,Słubicka,3,66.36,0,3,Do remontu,False,False,1969.0
37,568350.0,Konińska,2,42.86,4,4,Do odświeżenia,True,True,1969.0
38,429900.0,Łęczycka,2,36.0,4,4,Gotowe do wprowadzenia,False,True,1969.0
39,510000.0,Rudzka,2,39.1,4,4,Do remontu,True,False,1969.0
40,619356.0,Konińska,2,46.33,0,4,Do odświeżenia,True,True,1969.0
41,270800.0,Elizy Orzeszkowej,3,63.18,1,1,Do remontu,False,False,1969.0
42,539000.0,Ignacego Mościckiego,4,67.5,1,1,Do remontu,True,True,1969.0
43,710723.0,Ibn Siny Awicenny,3,62.87,0,3,Do remontu,True,True,1969.0
44,482000.0,Gajowa,2,34.0,0,11,Gotowe do wprowadzenia,False,False,1969.0
45,710720.0,Ibn Siny Awicenny,3,62.85,0,3,Do remontu,True,True,1969.0
46,415000.0,Woskowa,2,39.5,1,1,Do remontu,True,True,1969.0
47,895000.0,Gajowa,4,94.0,0,2,Gotowe do wprowadzenia,True,False,1969.0
48,395000.0,Podwale,1,31.2,1,4,Do remontu,False,False,1969.0
49,469000.0,Ignacego Mościckiego,3,58.2,1,1,Do remontu,True,True,1969.0
50,639000.0,Gajowa,2,51.3,8,10,Do remontu,True,False,1969.0
51,488400.0,Woskowa,3,49.1,1,1,Do remontu,True,True,1969.0
52,745000.0,Kossaka,3,58.9,1,5,Gotowe do wprowadzenia,False,True,1969.0
53,610000.0,Woskowa,4,60.25,0,0,Do remontu,True,True,1969.0
54,849000.0,Zamkowa,2,50.0,4,4,Gotowe do wprowadzenia,True,False,1969.0
55,699000.0,Łubinowa,3,64.0,2,2,Do remontu,True,False,1969.0
56,329000.0,Ignacego Mościckiego,2,36.5,1,1,Do remontu,True,True,1969.0
57,453000.0,Woskowa,3,45.91,1,1,Do remontu,True,True,1969.0
58,1260000.0,Tomaszowska,3,92.63,2,4,Gotowe do wprowadzenia,True,False,1969.0
59,489000.0,Woskowa,3,49.7,1,1,Do remontu,True,True,1969.0
60,539000.0,Woskowa,3,52.7,0,0,Do remontu,True,True,1969.0
61,664000.0,Zielna,3,48.98,1,5,Do odświeżenia,False,True,1969.0
62,720000.0,Rudzka,3,60.68,0,4,Gotowe do wprowadzenia,True,True,1969.0
63,785163.0,Konińska,3,66.61,0,4,Do odświeżenia,True,True,1969.0
64,560000.0,Ignacego Mościckiego,4,67.5,0,0,Do remontu,True,True,1969.0
65,369000.0,Woskowa,2,32.3,0,0,Do remontu,True,True,1969.0
66,777383.0,Ibn Siny Awicenny,4,64.48,2,3,Do remontu,True,True,1969.0
67,950000.0,Kazimierza Jagiellończyka,3,76.0,4,5,Gotowe do wprowadzenia,False,False,1969.0
68,875000.0,Gajowa,4,81.16,0,1,Do odświeżenia,True,True,1969.0
69,725000.0,Rudzka,4,78.0,0,2,Do odświeżenia,True,True,1969.0
70,749000.0,Gajowa,2,48.0,0,4,Gotowe do wprowadzenia,True,True,1969.0
71,839000.0,Zamkowa,3,52.58,3,4,Do odświeżenia,True,True,1969.0
72,380000.0,Woskowa,2,33.0,0,0,Do remontu,True,True,1969.0
73,777380.0,Ibn Siny Awicenny,4,64.45,2,3,Do remontu,True,True,1969.0
74,1028674.0,Czysta,2,49.29,0,6,Do odświeżenia,True,True,1969.0
75,929000.0,Miłoszycka,4,80.1,0,2,Gotowe do wprowadzenia,True,True,1969.0
76,1219000.0,Zyndrama z Maszkowic,2,82.88,0,5,Gotowe do wprowadzenia,False,True,1969.0
77,666995.0,Gajowa,4,70.21,1,3,Do odświeżenia,True,False,1969.0
78,1260855.0,Czysta,3,70.6,3,6,Do remontu,False,False,1969.0
79,450000.0,Zielna,2,30.0,2,3,Gotowe do wprowadzenia,False,False,1969.0
80,1042458.0,Racławicka,5,83.9,1,4,Do remontu,False,False,1969.0
81,489375.0,Blizanowicka,2,38.79,0,2,Do remontu,False,False,1969.0
82,710715.0,Ibn Siny Awicenny,3,62.8,0,3,Do remontu,False,False,1969.0
83,569000.06,Zielna,2,46.47,0,5,Do remontu,False,False,1969.0
84,845000.0,Norberta Barlickiego,3,75.0,0,4,Gotowe do wprowadzenia,True,False,1969.0
85,778997.0,Kossaka,3,60.27,4,5,Do remontu,True,False,1969.0
86,1100000.0,Władysława Łokietka,3,112.0,2,4,Gotowe do wprowadzenia,False,False,1969.0
87,607014.4,Lawendowa,3,60.16,0,2,Do remontu,False,False,1969.0
88,354989.0,Zamkowa,1,14.03,3,3,Gotowe do wprowadzenia,False,False,1969.0
89,899750.0,gen. Tadeusza Kutrzeby,4,82.04,0,1,Do remontu,False,False,1969.0
90,527218.0,Nefrytowa,2,42.38,2,2,Do remontu,False,False,1969.0
91,677840.0,Ibn Siny Awicenny,3,62.8,1,3,Do remontu,False,False,1969.0
92,608363.0,Ibn Siny Awicenny,2,48.3,3,3,Do remontu,True,True,1969.0
93,744520.0,Czysta,1,31.44,6,6,Do remontu,False,False,1969.0
94,584900.0,Szczęśliwa,3,45.0,2,5,Gotowe do wprowadzenia,False,False,1969.0
95,828997.0,Kossaka,4,72.93,3,5,Do remontu,True,False,1969.0
96,600085.0,Gajowa,2,88.48,0,1,Do remontu,False,False,1969.0
97,1301940.0,Zamkowa,2,48.22,4,5,Do remontu,True,False,1969.0
98,1034586.0,Klemensa Janickiego,2,43.47,2,4,Do remontu,False,False,1969.0
99,568997.0,Kossaka,2,46.46,5,5,Do remontu,True,False,1969.0
100,450000.0,Drukarska,1,31.2,10,11,Gotowe do wprowadzenia,False,False,1969.0
101,975387.0,Czysta,2,53.02,2,6,Do remontu,False,False,1969.0
102,635318.0,Czysta,1,26.2,6,6,Do remontu,False,False,1969.0
103,1102730.0,Przyjaźni,4,74.09,1,8,Do remontu,False,False,1969.0
104,500000.0,Skoczna,2,57.64,1,1,Gotowe do wprowadzenia,True,True,1969.0
105,1299990.0,Gajowa,3,59.3,3,4,Gotowe do wprowadzenia,True,True,1969.0
106,598791.0,Kominiarska,3,60.18,0,2,Do odświeżenia,True,True,1969.0
