nazwa_ogloszenia,link,cena,opis,lokalizacja,pokoje,stan wykonczenia,miejsce parkingowe,powierzchnia,balkon,taras,piętro,rok budowy
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-50m2-mzn2041581857,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta
✅ Lokalizacja łącząca charakter zabytkowego centrum z bliskością Odry
✅ System „inteligentny dom” w mieszkaniach

Apartamenty nad Rzeką w skrócie
Inwestycja Apartamenty nad Rzeką to jeden budynek mieszkalny liczący 6 pięter, w którym znalazły się 144 mieszkania o powierzchniach od 30 do 131 m kw. W zależności od piętra, lokale mają od 262 do 322 cm wysokości, a do dyspozycji mieszkańców oddane zostaną także miejsca postojowe podziemne i naziemne.
Apartamenty nad Rzeką – lokalizacja
Głównym atutem inwestycji jest jedna z najlepszych wrocławskich lokalizacji, w samym sercu Wrocławia, blisko centrum zabytkowego, a zarazem tuż nad Odrą. Szybko można stąd dostać się do centrów biznesowych i kulturalnych Wrocławia, wybrać się do jednej z tutejszych klimatycznych restauracji, galerii sztuki, kina czy teatru. Kilka kroków od inwestycji znajdują się najpiękniejsze miejsca Wrocławia, jak Rynek, Stare Miasto, Ostrów Tumski czy bulwary nad Odrą.
Tereny zielone
Na drugim brzegu Odry, naprzeciwko Apartamentów nad Rzeką, w odległości 1,3 km znajduje się Park Mieszczański, a o 2 km oddalony jest Park im. Stanisława Staszica. Mieszkańcy inwestycji z pewnością będą także korzystać z uroków bulwarów nad Odrą rozciągających się dosłownie pod ich oknami.
Sklepy, punkty usługowe i gastronomiczne
O 240 metrów od inwestycji oddalony jest sklep sieci Kaufland, o 500 metrów sklep spożywczy Fortuna, a o 700 metrów – sklep Przystanek. Najbliższa Biedronka znajduje się w odległości 900 metrów, a Lidl – 1,7 km. Tuż przy inwestycji mieści się Bistro no 5. oraz restauracja Gastrom. Bliskość Starego Miasta i Rynku we Wrocławiu powodują, że można również wybrać się do jednej ze znajdujących się tam licznych restauracji czy kawiarni.
Komunikacja i transport publiczny
Najbliższy przystanek autobusowy – Długa – z którego odjeżdżają linie 128 i C oddalony jest o 300 metrów od inwestycji. W odległości 750 metrów mieści się stacja kolei regionalnych – Wrocław Szczepin.
Edukacja
W promieniu niespełna 2 km od inwestycji znajdują się trzy przedszkola. O 1,1 km oddalone są dwie szkoły podstawowe: prywatna i Zespół Szkół nr 18. Do najbliższego Liceum Ogólnokształcącego nr III im. Adama Mickiewicza jest 1,6 km, a do budynków Uniwersytetu Wrocławskiego – 1,9 km.
Rezerwacja i płatność
Wszystkie informacje dotyczące rezerwacji i płatności znajdą Państwo u dewelopera, polecamy kontakt przez formularz.","Stare Miasto,",2,,,"50,44 m²",Tak,,,2024
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-stare-miasto-michalczyka-5-64m2-mzn2041581854,,"Najważniejsze atuty
✅ Jedna z najlepszych wrocławskich inwestycji w sercu miasta","Stare Miasto,",3,,,"64,69 m²",Tak,,,2024
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-69m2-mzn2041534211,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm
W skrócie

Osiedle Zielna powstające w dzielnicy Psie Pole to kameralna inwestycja składającą się z jednego dwupiętrowego budynku wielorodzinnego, w którym znajdzie się łącznie 160 mieszkań. Mieszkańcy lokali na parterze będą mieli do swojej dyspozycji ogródki, natomiast lokatorzy 1 i 2 piętra – przestronne balkony. Na kameralnym osiedlu nie zabraknie atrakcyjnie zaaranżowanej przestrzeni wspólnej, w postaci małej architektury, nasadzeń kwiatowych, drzew i krzewów. Częścią inwestycji będzie duży zielony, wewnętrzny dziedziniec, gdzie mieścić się będzie plac zabaw oraz siłownia plenerowa. W ramach inwestycji przewidziano również podziemny garaż, komórki lokatorskie, schowki oraz rowerownię.

Lokalizacja

Osiedle Zielna powstaje na Psim Polu, przy ulicy Zielnej, która położona jest 6,7 km od centrum Wrocławia. Rozciągająca się w północnej części Wrocławia dzielnica Psie Pole zabudowana jest w dużej mierze przez osiedla domków jednorodzinnych i willi, a także trzy duże osiedla: Zakrzów, Psie Pole oraz Różanka. Na obrzeżach dzielnicy dominują tereny zielone, m.in. las Rędziński, Osobowicki i Sołtywicki. Największą arterią dzielnicy Psie Pole, łączącą zachodnią jej część ze wschodnią, jest ulica Jana Kasprowicza.

Tereny zielone

W odległości 260 metrów od inwestycji znajduje się park międzyosiedlowy z placem zabaw dla dzieci. Do parku przy ulicy Nadbrzeżnej w Zgorzelisku oddalonego o 1 km można dotrzeć spacerem w 13 minut. W odległości 2,8 km znajduje się park Małe Wilczyce, 2,7 km od osiedla – Park Jedności, a 6 km dzieli Osiedle Zielna od dzikich terenów spacerowych przy ujściu rzeki Dobrej do Widawy.

Sklepy, punkty usługowe i gastronomiczne

Najbliższy niewielki sklep spożywczy znajduje się tuż przy Osiedlu Zielna. W odległości 110 metrów położone są Delikatesy Gorlickie, w odległości 240 metrów – sklep max minimarket. Mieszkańcy Osiedla Zielna mają również blisko położoną przychodnię – 100 metrów od osiedla, przychodnię weterynaryjną – 100 m, restaurację z azjatycką kuchnią fusion (450 m), pub (550 m) czy halę targową Blaszak (500 m).

Komunikacja i transport publiczny

Najbliższy przystanek komunikacji miejskiej – Gorlicka – znajduje się 210 metrów od Osiedla Zielna. Dzięki niemu mieszkańcy osiedla mogą korzystać z dogodnych połączeń komunikacyjnych w dzielnicy Psie Pole – 6 linii autobusowych oraz 2 tramwajowych. We wschodniej części dzielnicy zlokalizowana jest stacja kolejowa, która również ułatwia dotarcie w inne części Wrocławia.

Edukacja

W bezpośrednim sąsiedztwie Osiedla Zielna znajdują się 3 placówki edukacyjne: publiczne przedszkole Columbus oddalone o 70 metrów, przedszkole nr 71 – oddalone o 520 metrów oraz Szkoła Podstawowa nr 6 zlokalizowana w odległości 230 metrów.

Rezerwacja i płatność

Po szczegóły zapraszamy do kontaktu przez formularz znajdujący się na dole strony.","Psie Pole,",4,,,"69,51 m²",Tak,,,2023
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-srodmiescie-sienkiewicza-28m2-mzn2041989878,,"Najważniejsze atuty
✅ Wyjątkowa lokalizacja – na wprost Ogrodu Botanicznego we Wrocławiu
✅ Mieszkania idealne pod wynajem
✅ Unikatowe części wspólne","Śródmieście,",1,,,"28,69 m²",,,6/6,2024
2 pokoje + kuchnia 52m2 duży balkon Wrocław Psie Pole Gorlicka 88,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-gorlicka-52m2-mzn2042033840,624 000 zł,"Mieszkanie 52m2 w pełni rozkładowe, piętro 3 z 4, wysokość pomieszczeń 3m nadaje wizualnej przestrzeni , składa się z 2 pokoi, dużej kuchni, sporej łazienki, przedpokoju i balkonu z wejściem z obu pokoi. Jest możliwość adaptacji kuchni na trzeci pokój, wtedy kuchnia jako aneks w salonie. Media miejskie. Mieszkanie wewnętrzne, ciepłe i ciche-okna od strony patio, dźwięki ulicy słabo słyszalne . Czynsz  do zarządcy ok 600 zł za 4 osoby. Rok budowy 2010. Duża nowoczesna winda. Wyposażenie ze zdjęć i opisu w cenie mieszkania. 

Salon 18m2:
- rozkładana kanapa z funkcją spania
- rozkładany stół z krzesłami
- szafka rtv dolna i górna
- zabudowa tv +TV 
- witryna
- wyjście na balkon 
- nastrojowe oświetlenie
- rolety wewnętrzne

Pokój 15m2:
- rozkładane łóżko 
- biurko z nadstawką i krzesłem obrotowym
- regał z szafką 
- tablica suchościeralna
- duże lustro
- szafa typu komandor 
- wyjście na balkon
- rolety wewnętrzne

Kuchnia 10m2:
- meble w zabudowie
- lodówka no-frost
- piekarnik elektryczny
- płyta indukcyjna z 4 polami typu booster
- zmywarka 60 cm
- oświetlenie LED blatów roboczych 
- mikrofala, toster, opiekacz

Łazienka 5m2:
- podświetlane lustro
- pralka z funkcją Eco Bubble
- zabudowa na środki czystości

Korytarz 4m2:
- Duża szafa typu komandor
- oświetlenie nocne

Okolica:
- parking zewnętrzny za szlabanem, tylko dla użytku wspólnoty
- możliwość wykupienia wewnętrznego boksu garażowego na poziomie
0- 2 x punkt przedszkolny 150 i 400 m
- żłobek 300 m
- 3 x fryzjer 150, 300, 500 m
- 3 x żabka 100, 250, 400 m
- przystanek autobusowy 100 m
- pętla autobusowa Litewska 400 m 
- centrum handlowe Blaszak 400 m
- szkoła podstawowa 300 m
- 3 x plac zabaw 50 150 300 m
- rynek Psiego Pola 500 m
- 3 x stomatolog 100 300 450 m
- liczne sklepy spożywcze i usługowe do 500 m
- piękne tereny spacerowo-rekreacyjne nad Widawą 500m

Mieszkanie obecnie jest wynajmowane sympatycznej rodzinie. Po zakupie nieruchomości istnieje możliwość kontynuowania najmu z obecną rodziną lub wydanie mieszkania do 2 miesięcy od podpisania umowy przedwstępnej.
Zapraszam na prezentację po uprzednim umówieniu telefonicznym887... pokaż. Możliwość oglądania codziennie w tygodniu tylko po 18:30 

Nie podpisuję żadnych umów z pośrednikami.

Oferta prywatna kupujący nie płaci prowizji.","Psie Pole,",2,,,"52,04 m²",Tak,,3/4,2010
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-psie-pole-zielna-50m2-mzn2042161230,,"Osiedle Zielna

Najważniejsze atuty
Kameralna inwestycja składająca się z jednego, 2-piętrowego budynku wielorodzinnego
Ogródki przynależne do mieszkań na parterze, balkony w przypadku mieszkań na 1 i 2 piętrze
Wysokość lokali – 250 cm","Psie Pole,",2,,,"50,20 m²",Tak,,,2023
Okolice ul. Prądzyńskiego /rozkład/do remontu,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-krzyki-gen-ignacego-pradzynskiego-96m2-mzn2043231298,1 100 000 zł,"Do sprzedania mieszkanie w centrum Wrocławia 3 pokojowe na pierwszym piętrze.
Mieszkanie składa się z:
Pokoju 30m
Pokoju 20m
Pokoju 15m
Kuchni 10m
Schowka 5m
Łazienki 4m
WC 1m
Przedpokoju 10m
W mieszkaniu wymienione:
1. Okna na trzyszybowe - 2 lata temu
2. Piec gazowy - 2 lata temu.
3. Kaloryfery wraz ze wszystkimi rurami - 2 lata temu
Bardzo duży 30 metrowy salon!
Podłogi drewniane zbudowane z długich desek. Deski zdrowe.
Mieszkanie rozkładowe.
Sufity na wysokości 3,5m we wszystkich pomieszczeniach.
W dużych pokojach zdobne cokoły sufitowe.
We wszystkich trzech pokojach znajdowały się piece kaflowe.
Zostały rozmontowane 2 lata temu podczas termomodernizacji.
Mieszkanie obustronne.
Piękne odnowione podwórko.
Parking w podwórku.
Do mieszkania przynależy piwnica.
Dostęp do strychu.
Mieszkanie do remontu.
W pobliżu wszystko co niezbędne: przystanek, apteka, komisariat policji, sklep żabka, sklep biedronka.
Mieszkanie ze względu na swoją wielkość nadaje się na kancelarię adwokacką, biuro architektoniczne, biuro firmy.
Jest to jedyne mieszkanie na pierwszym poziomie kamienicy.
Interesuje Cię zakup tego mieszkania? Zadzwoń i umów się na prezentację.
Cena: 1 100 000zł
nr oferty : 11431/10630/OMS
Interesuje Cię zakup tego mieszkania?
ZAPRASZAM NA BEZPŁATNĄ PREZENTACJĘ
Przy zakupie otrzymasz wsparcie w uzyskaniu finansowania na zakup nieruchomości.
| Phone+48... pokaż
Mirosław Markiewicz
Specjalista ds. Sprzedaży Nieruchomości
Agencja UNITED Nieruchomości | ul. Młynarska 14/E | 51-116 Wrocław |
Oferta wysłana z programu dla biur nieruchomości ASARI CRM (asaricrm.com)","Południe,",3,,,96 m²,,,1/5,1930
Okolice ul. Stalowej Inwestycja/Comiejskie/Balkon,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-fabryczna-stalowa-26m2-mzn2043102375,379 000 zł,"Na sprzedaż kawalerka o powierzchni 26m2 na Wrocławskim Grabiszynie.
Nieruchomość składa się z:
- Przedpokoju
- Salonu z wyjściem na balkon
- Kuchni
- Łazienki
Do mieszkania przynależy piwnica.
Kawalerka wynajmowana do końca grudnia. Bliskość przystanków autobusowych oraz tramwajowych zapewnia nieocenioną wygodę w codziennym funkcjonowaniu. Dookoła wszelka infrastruktura handlowo usługowa.
Nieruchomość nadaje się na inwestycję lub miejsce do komfortowego mieszkania na start.
POLECAM I ZAPRASZAM NA PREZENTACJĘ
Cena: 379 000zł - CENA DO NEGOCJACJI
Zadzwoń ! 698 666 308
Numer oferty 96/14789/OMS
Sprzedawca: Przemysław Gniewczyński
Nr. Licencji: 27 311
Oferta wysłana z programu dla biur nieruchomości ASARI CRM (asaricrm.com)","Grabiszyn,",1,,,"26,20 m²",Tak,,4/4,1965
Okolice ul. Kiełbaśniczej Rynek/Inwestycja/LUX,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-kielbasnicza-58m2-mzn2043231362,899 000 zł,"Na sprzedaż lokal o powierzchni 58,50 m2 znajdujący się na Wrocławskim Starym Mieście, pomiędzy Rynkiem a ulicą Kazimierza Wielkiego.
Opis nieruchomości:
* Pokój
* Aneks kuchenny
* Łazienkę z WC
* Przedpokój
Elementem konstrukcyjnym są słupy - wszystkie ściany można zmieniać. Racjonalne przebudowa umożliwi uzyskanie nieco większej powierzchni i indywidualnego układu.
Budynek w otoczeniu centrum biznesowo - rozrywkowego po wschodniej stronie Rynku Starego Miasta, blisko kawiarnie, centra handlowe, biura, bardzo dobra komunikacja miejska blisko przystanki tramwajowe jak i autobusowe.
Mieszkanie doskonałe pod inwestycję.
Cena: 899 000 zł
nr oferty : 11478/10630/OMS
Interesuje Cię zakup tego mieszkania? Zadzwoń i umów się na prezentację.
Przy zakupie otrzymasz wsparcie w uzyskaniu finansowania na zakup nieruchomości.
Phone+48... pokaż
Andrzej Roczniak
Specjalista ds. Sprzedaży Nieruchomości
Agencja UNITED Nieruchomości | ul. Młynarska 14/E | 51-116 Wrocław |
Oferta wysłana z programu dla biur nieruchomości ASARI CRM (asaricrm.com)","Rynek,",2,,,"58,50 m²",,,1/7,2000
Opis nieruchomości,https://www.morizon.pl/oferta/sprzedaz-mieszkanie-wroclaw-srodmiescie-sienkiewicza-31m2-mzn2041989847,,"Najważniejsze atuty
✅ Wyjątkowa lokalizacja – na wprost Ogrodu Botanicznego we Wrocławiu
✅ Mieszkania idealne pod wynajem
✅ Unikatowe części wspólne","Śródmieście,",1,,,"31,49 m²",,,1/6,2024
