cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
0.0,Gajowa,3,54.71,1.0,3.0,Do remontu,False,False,2025
609000.0,Gnieźnieńska,1,38.37,4.0,4.0,Do remontu,True,False,2023
0.0,Gajowa,3,50.02,1.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,54.89,1.0,3.0,Do remontu,False,False,2025
635000.0,Kossaka,2,53.06,3.0,5.0,Do remontu,True,False,1995
673000.0,Przyjaźni,2,48.27,1.0,4.0,Do remontu,True,False,2012
0.0,Gajowa,3,54.47,3.0,3.0,Do remontu,False,False,2025
689000.0,Zamkowa,2,45.61,3.0,9.0,Do remontu,False,False,2026
0.0,Zielna,4,69.51,4.0,4.0,Do remontu,True,False,2023
0.0,Gajowa,3,54.71,1.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,54.52,2.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,54.52,3.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,2,47.81,3.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,54.89,4.0,4.0,Do remontu,False,False,2025
610624.0,Lawendowa,3,60.16,1.0,2.0,Do remontu,True,False,2025
0.0,Gajowa,3,54.71,2.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,54.71,2.0,3.0,Do remontu,False,False,2025
639680.0,Rudzka,2,55.1,3.0,3.0,Do remontu,True,False,2025
0.0,Gajowa,2,48.77,2.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,50.51,1.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,54.89,1.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,54.52,2.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,50.32,2.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,2,48.93,1.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,1,65.22,3.0,3.0,Do remontu,False,False,2025
614442.0,Lawendowa,3,54.91,4.0,4.0,Do remontu,False,False,2024
653500.0,Zielna,2,50.91,4.0,4.0,Do remontu,False,False,2023
0.0,Gajowa,3,58.34,1.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,54.47,3.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,49.71,3.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,54.87,4.0,4.0,Do remontu,False,False,2025
0.0,Gajowa,3,54.52,3.0,3.0,Do remontu,False,False,2025
688440.0,Gajowa,3,57.61,1.0,7.0,Do remontu,True,False,2025
0.0,Gajowa,3,50.13,3.0,3.0,Do remontu,False,False,2025
660000.0,Kossaka,2,40.0,4.0,4.0,Do remontu,True,False,2016
0.0,Gajowa,2,47.81,2.0,3.0,Do remontu,False,False,2025
775440.0,Gajowa,3,64.62,5.0,7.0,Do remontu,True,False,2025
0.0,Gajowa,3,58.21,2.0,3.0,Do remontu,False,False,2025
0.0,Gajowa,3,63.44,2.0,3.0,Do remontu,False,False,2025
772329.0,Gajowa,3,64.63,2.0,7.0,Do remontu,True,False,2025
716640.0,Gajowa,3,59.72,3.0,7.0,Do remontu,True,False,2025
699000.0,Zielna,3,59.81,2.0,4.0,Do remontu,True,False,2022
705725.0,Gajowa,2,45.25,6.0,8.0,Do remontu,True,False,2026
0.0,Gajowa,3,63.1,2.0,3.0,Do remontu,False,False,2025
690000.0,Gajowa,3,49.0,3.0,3.0,Do remontu,True,False,2018
722854.0,Gajowa,3,59.74,6.0,7.0,Do remontu,True,False,2025
719385.0,Gajowa,3,59.7,5.0,7.0,Do remontu,True,False,2025
705000.0,pl. Dominikański,3,63.82,4.0,4.0,Do remontu,True,False,2023
0.0,Kossaka,2,52.93,6.0,6.0,Do remontu,False,False,2023
795000.0,Gajowa,2,56.0,4.0,4.0,Do remontu,True,False,2021
690000.0,Kossaka,3,60.0,1.0,10.0,Do remontu,True,False,1970
726259.0,Lawendowa,4,70.17,4.0,4.0,Do remontu,False,False,2024
768978.0,Gajowa,3,64.62,1.0,7.0,Do remontu,True,False,2025
721000.0,Kajdasza,3,55.53,3.0,4.0,Do remontu,True,False,2020
699000.0,Rudzka,2,50.45,4.0,4.0,Do remontu,True,False,2019
799000.0,Worcella,3,51.8,3.0,4.0,Do remontu,False,False,1950
697202.0,Gajowa,3,57.62,5.0,7.0,Do remontu,True,False,2025
0.0,Gajowa,3,63.4,1.0,3.0,Do remontu,False,False,2025
789500.0,Gajowa,3,55.8,3.0,8.0,Do remontu,True,False,2026
0.0,Gajowa,3,63.38,4.0,4.0,Do remontu,False,False,2025
709002.0,Gajowa,3,59.58,1.0,7.0,Do remontu,True,False,2025
741742.0,Zielna,3,71.39,2.0,2.0,Do remontu,True,False,2023
800000.0,Zielna,4,94.5,4.0,4.0,Do remontu,False,False,2006
0.0,Gajowa,3,63.27,3.0,3.0,Do remontu,False,False,2025
714849.0,Gajowa,3,59.82,2.0,7.0,Do remontu,True,False,2025
745000.0,Młynarska 14,3,57.2,1.0,2.0,Do remontu,True,False,2020
752160.0,Gajowa,3,62.68,6.0,7.0,Do remontu,True,False,2025
725000.0,pl. Dominikański,2,41.0,2.0,6.0,Do remontu,True,False,2015
750600.0,Gajowa,3,62.55,7.0,7.0,Do remontu,True,False,2025
0.0,Gajowa,3,63.28,1.0,3.0,Do remontu,False,False,2025
694321.0,Gajowa,3,57.62,4.0,7.0,Do remontu,True,False,2025
0.0,Gajowa,3,58.05,3.0,3.0,Do remontu,False,False,2025
886113.0,Gajowa,4,79.83,2.0,7.0,Do remontu,True,False,2025
944217.0,Gajowa,3,66.74,4.0,8.0,Do remontu,True,False,2026
809900.0,Asfaltowa,3,59.81,2.0,4.0,Do remontu,True,False,2022
868230.0,Gajowa,4,78.93,1.0,7.0,Do remontu,True,False,2025
875000.0,Młynarska 14,2,56.48,4.0,8.0,Do remontu,False,False,2013
904750.0,Zamkowa,2,38.5,1.0,5.0,Do remontu,True,False,2024
834000.0,Zamkowa,3,55.34,5.0,9.0,Do remontu,True,False,2022
0.0,Gajowa,1,69.1,3.0,3.0,Do remontu,False,False,2025
994320.0,Gajowa,4,82.86,5.0,7.0,Do remontu,True,False,2025
837000.0,Młynarska 14,3,54.0,2.0,3.0,Do remontu,True,False,2016
0.0,Gajowa,1,69.05,3.0,3.0,Do remontu,False,False,2025
