nazwa_ogloszenia,cena,opis,lokalizacja,zametr,pokoje,powierzchnia,umeblowane,czynsz,rodzaj zabudowy,rynek,piętro,typ,forma wlasnosci,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,ogrzewanie
2 pokoje z balkonem w Centrum!,640 000 zł,"Na sprzedaż 2 pokojowe mieszkanie z balkonem w ścisłym centrum Wrocławia.

Mieszkanie w pełni rozkładowe 50m2 :

1 pokój dzienny około 20m2
1 sypialnia około 15m2
Garderoba
Łazienka
Kuchnia

Media:

ogrzewanie - sieć miejska
woda - piec jednofunkcyjny gazowy
czynsz- 560 zł ( w tym są już wszystkie zaliczki)
osobno płatny prąd i gaz ( podgrzanie wody oraz kuchenka)

Mieszkanie mieści się na 2 piętrze w budynku bez windy, blok z lat 70. Osiedle jest ogrodzone i zamknięte. Możliwość parkowania na osiedlu tylko dla mieszkańców.
Dodatkowo do mieszkania przynależy piwnica.
Lokal został odświeżony 3 miesiące temu, nie wymaga dodatkowych nakładów finansowych.
Na chwilę obecną mieszkanie jest wynajmowane, lokatorzy są chętni na jego kontynuowanie :)

Lokalizacja nieruchomości ul. Dworcowa

Pośredników zapraszam z klientami, nie podpisuję żadnych umów(chyba, że przed finalizacją sprzedaży)- ofertę możecie podesłać swojemu klientowi:) Ewentualne kwestie wynagrodzenia do ustalenia:) Powiedzmy, że jestem z branży :)

Po więcej szczegółów zapraszam do kontaktu.","Wrocław, Stare Miasto",12800 zł/m²,2,50 m²,Tak,,Blok,Wtórny,2,Prywatne,,,,,
Mieszkanie Komuny Paryskiej/Bez pośrednika/2 pokoje/47m2/piwnica,559 000 zł,"Na sprzedaż 2-pokojowe umeblowane mieszkanie o powierzchni 47m² usytuowane na 4 piętrze w bloku, przy ulicy Komuny Paryskiej we Wrocławiu.

W skład lokalu wchodzi:

- kuchnia z dużym oknem

- pokój

- salon

- przedpokój

- łazienka z wc

- balkon

- piwnica

- schowek na strychu w części wspólnej

Mieszkanie umeblowane i wyposażone w sprzęt RTV i AGD

- okna PCV

- ogrzewanie miejskie

- czynsz około 400zł

- pełna własność z księgą wieczystą

- budynek po remoncie klatki schodowej

Bardzo dobra lokalizacja oraz komunikacja

Rynek ~ 1km

Dworzec Główny ~ 1km

Lotnisko ~ 13km

Galeria Dominikańska ~ 0.6km

Wroclavia ~ 1km

Żabka ~ 150m

W pobliżu apteki, sklepy spożywcze itp

Blisko również przystanki komunikacji miejskiej.

Cena: 559 000

Zapraszam do kontaktu.","Wrocław, Krzyki",11893.62 zł/m²,2,47 m²,Tak,,Blok,Wtórny,4,Prywatne,,,,,
"Nowe Żerniki, 3 pokoje z ogromnym tarasem 77m2, wysoki standard",949 000 zł,"Na sprzedaż piękne, zaprojektowane przez architekta w wysokim standardzie 3-pokojowe mieszkanie znajdujące się na osiedlu Nowe Żerniki (WuWa2), przy ulicy Lauterbacha.

Bezpośrednio od właściciela - bez pośredników i BEZ PROWIZJI!

Mieszkanie o powierzchni 64,77m2 znajduje się na 1 piętrze i posiada duży, pięknie zagospodarowany taras.
Do mieszkania przynależą 2 komórki lokatorski (jedna na piętrze obok mieszkania, druga obok miejsc postojowych) oraz 2 zależne miejsca parkingowe w garażu podziemnym. Na osiedlu znajdują się ogólnodostępne miejsca parkingowe blisko budynku. Dostępna jest również rowerownia. Mieszkanie jest podłączone do mediów miejskich.

Mieszkanie jest wykończone i składa się z:

- salonu z aneksem kuchennym - 32,31 m2
- sypialnia I - 11,43 m2
- sypialnia II - 9,02 m2
- przedpokój - 8,08 m2
- łazienka - 3,93 m2

- taras - 77 m2

Na wszystkich oknach (z wyjątkiem salonu) zostały zamontowane plisowane rolety.

Wszystkie meble zrobione zostały pod wymiar, łącznie z rozkładanym stołem.
Na podłodze położona została deska dębowa, zamontowane zostały białe drzwi lakierowane.
W łazience instalacje podtynkowe z mieszalnikiem termostatycznym.

Mieszkanie posiada dużo przestrzeni do przechowywania (liczne szafy, garderobę, regały, pojemniki pod łóżkiem, szuflady)

Mieszkanie wykończone pod siebie, nigdy nie było wynajmowane.

Do mieszkania doprowadzony jest światłowód oraz dostępnych jest multum dostawców internetu (m.in. Netia, Orange, Moico, Korbank, Mortin, OsiedlowaPL)

Cena mieszkania - 949 000 zł
Cena 2 komórek lokatorskich i 2 miejsc postojowych w garażu podziemnym - 100 000 zł

LOKALIZACJA:

Niedaleko mieszania znajduję się przystanek tramwajowy z trzema liniami, blisko położony węzeł wjazdowy na Autostradową Obwodnicę Wrocławia

Mieszkanie jest zlokalizowane w szczególnym miejscu - na wzorcowym osiedlu Nowe Żerniki (WuWa2), w zachodniej części miasta, zaprojektowanego przez najlepszych wrocławskich architektów. Na osiedlu znajdziemy sklepy spożywcze, warzywniak,
,przedszkole, żłobek, przychodnia i wiele innych udogodnień. Kąpielisko Glinianki wraz z WakePark Wrocław jest oddalone o zaledwie 10 minut spacerem. Niedługo powstanie wielki kompleks sportowy Wrocławskie Centrum Sportu (11 boisk).

Atuty Wspólnoty:
- własny i w pełni wynajęty lokal usługowy o powierzchni około 100 m2, spełniający rolę Domu Kultury na osiedlu (Generator Wuwa2)
- instalacja fotowoltaiczna na dachach
- rowerownie i wózkownie dla każdej klatki (16 mieszkań)

Serdecznie zapraszam do kontaktu.","Wrocław, Fabryczna",14600 zł/m²,3,65 m²,Tak,,Apartamentowiec,Wtórny,1,Prywatne,,,,,
3 pok. mieszkanie w budynku z 2022r. - wykończone,890 000 zł,Film,"ul. Zielna, Psie Pole, Psie Pole, Wrocław, dolnośląskie",12 985 zł/m²,3,"68,54 m²",,710 zł,,wtórny,2/2,,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,miejskie
"KŁODNICKA, 2 pokoje, duży balkon, piwnica, CENTRUM",499 000 zł,"Mam do sprzedania mieszkanie w samym centrum miasta - boczna legnickiej - ul. Kłodnicka, doskonała lokalizacja.  Mieszkanie jest od strony południowego wschodu, składa się z pokoju wraz z otwartą kuchnią 18,54 m2, pokoju 9,21 m2, przedpokoju 3,01 m2 oraz łazienki z WC 2,54 m2 o łącznej powierzchni 34,30 m2. Kuchnia wyposażona jest w nowe meble kuchenne oraz nowy sprzęt AGD. Do mieszkania przynależy piwnica 1,96 m2. Mieszkanie posiada balkon 8,64 m2. Mieszkanie usytuowane jest na 5 piętrze w dziesięciokondygnacyjnym budynku, który jest ocieplony. Klatka schodowa ogrzewana, zadbana i czysta.
Biura nieruchomości zapraszam wyłącznie z klientem.","ul. Kłodnicka, Popowice Południowe, Fabryczna, Wrocław, dolnośląskie",14 548 zł/m²,2,"34,3 m²",,450 zł,,wtórny,5/10,,pełna własność,,balkon,,miejskie
Śródmieście/4 pokoje/balkon/winda/media miejskie,740 000 zł,"Polecam mieszkanie 4 pokojowe w centrum, Śródmieście, przy bocznej, spokojnej ulicy.
Mieszkanie idealne dla rodziny, ale także doskonała lokata kapitału jako mieszkanie na wynajem.

LOKALIZACJA:
- Wrocław Śródmieście, osiedle Ołbin,
- ul. Barlickiego, małe natężenie ruchu,
- w pobliżu pełna infrastruktura, ale także park Tołpy i tereny rekreacyjne nad Odrą,
- około 1,5 km do Pl. Grunwaldzkiego, 2 km do Rynku,
- blisko komunikacja miejska (tramwaje i autobusy)

BUDYNEK:
- budynek 6 cio piętrowy z 1990 roku,
- wybudowany w technologii tradycyjnej, ściany z cegły,
- nowa winda,
- klatka zadbana,
- elewacja docieplona

MIESZKANIE:
- o powierzchni 74,03 m2,
- położone na 4 piętrze (winda),
- dwustronne SE-NW, w pełni rozkładowe,
- 4 pokoje o pow: 20,5+12,6+9,5+8,
- kuchnia oddzielna z oknem,
- jest balkon, szeroki i wygodny,
- układ mieszkania widoczny na załączonym rzucie

STAN MIESZKANIA:
- ogólnie dobry,
- okna i drzwi zewnętrzne wymienione w 2021 r,
- na podłodze mozaika parkietowa w dobrym stanie,
- piony wodno kanalizacyjne wymienione,
- instalacja elektryczna miedziana,

OPŁATY MIESIĘCZNE:
- 830 zł plus tylko prąd

OGRZEWANIE I CIEPŁA WODA:
- centralne, z sieci miejskiej

INFORMACJE DODATKOWE:
- jest założona księga wieczysta,
- bez obciążeń i zadłużeń,
- szybki termin wydania,
- do mieszkania przynależy piwnica o powierzchni 5,75 m2,
- wokół budynku są ogólnodostępne miejsca parkingowe,
- więcej ofert i zdjęć na stronie biura

----
Więcej informacji: Teresa Drozd-Beżaniszwili tel. 697-858-848,
biuro DROZD Nieruchomości,
poniedziałek-piątek 9.00-19.00
Pośrednik od 2007 roku, nr lic. 14831. Korzystając z wiedzy i doświadczenia, pomogę Państwu w zakupie oraz sprzedaży nieruchomości, tak aby cały proces był spokojny i bezpieczny.
Oferta na stronie to tylko część mieszkań, jakie mogę zaoferować.
Zapraszam do kontaktu.
/Przykładamy dużą wagę do tego, aby możliwie najdokładniej i rzetelnie przedstawić Państwu informacje o nieruchomości, jednak zamieszczone przez nas oferty nie stanowią oferty w rozumieniu Kodeksu Cywilnego./

Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()","ul. Norberta Barlickiego, Ołbin, Śródmieście, Wrocław, dolnośląskie",9 996 zł/m²,4,"74,03 m²","meble, lodówka, kuchenka",830 zł,plomba,,4/6,biuro nieruchomości,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,miejskie
4 pokoje do zamieszkania | zielony Gądów!,970 000 zł,"Na sprzedaż duże, rozkładowe mieszkanie z potencjałem inwestycyjnym lub dla rodziny!
Lokalizacja:
Nieruchomość znajduje się na spokojnym osiedlu, z dala od ruchliwych ulic, przy jednoczesnej bliskości centrum miasta - dojedziemy do niego w ok. 12 minut. Wokół znajduje się pełna infrastruktura, w bliskim sąsiedztwie znana 'Hala Tęczowa'. Tuż obok budynku kursuje 7 linii autobusowych, a dodatkowo tramwaje na pobliskiej ul. Lotniczej.
Układ mieszkania:
- Pokój 23m2
- Pokój 17m2
- Sypialnia 11m2
- Sypialnia 10m2
- Kuchnia
- Łazienka
- Wc
- Korytarz
- Balkon
Mieszkanie przeszło remont; instalacja wodno - kanalizacyjna i elektryczna została w całości wymieniona, również główne piony w budynku.
Elewacja bloku została ocieplona i odnowiona. Winda także została wymieniona.
Do dyspozycji mieszkańców ogólnodostępne miejsca parkingowe pod blokiem.
Do mieszkania przynależy komórka lokatorska.
Większość mebli widocznych na zdjęciach pozostaje w mieszkaniu.
Dla kogo?
Ta nieruchomość świetnie sprawdzi się pod kątem inwestycyjnym, jak i dla rodziny ceniącej bezpieczną, spokojną okolicę oraz szybki dojazd do centrum.
Zadzwoń lub napisz wiadomość i umów się na prezentację!

Tel: 884 010 846

Serdecznie zapraszam,
Julia
Biuro Hype Estate
ul. Księcia Witolda 49/15


Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.","ul. Jerzego Bajana, Gądów, Fabryczna, Wrocław, dolnośląskie",11 149 zł/m²,4,87 m²,"lodówka, meble, kuchenka, pralka",1 100 zł,blok,,5/8,biuro nieruchomości,,do zamieszkania,balkon,,miejskie
2-pokojowe mieszkanie 41m2 + balkon Bezpośrednio,584 163 zł,Wirtualny spacer,,"ul. Ibn Siny Awicenny, Oporów, Fabryczna, Wrocław, dolnośląskie",2,"41,9 m²",,,,,3/3,,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,
Kawalerka-DO REMONTU-ul.Grabiszyńska-kamienica,310 000 zł,"Do sprzedania Kawalerka o powierzchni 24, 73m2 przy ul.Grabiszyńskiej.
Mieszkanie do częściowego remontu.
Wymienione okna, instalacje.
Mieszkanie na parterze w wyremontowanej  kamienicy.
Dodatkowo antresola.
Łazienka z prysznicem.
Ogrzewanie elektryczne, woda na boiler elektryczny.
Czynsz około:400zl
Cena:310 000zł
Zapraszam do oglądania!
Osoba do kontaktu-Aleksandra Sidorowicz-601 167 877","ul. Grabiszyńska, Grabiszyn, Fabryczna, Wrocław, dolnośląskie",12 400 zł/m²,,25 m²,brak informacji,400 zł,kamienica,,parter/4,biuro nieruchomości,pełna własność,do remontu,,,elektryczne
3 pokoje-klimatyzacja/balkon/piwnica/suszarnia,630 000 zł,"Opiekun zlecenia:
Oliwia
nr tel: 570 830 505

Proponuję sprzedaż mieszkania w świetnej lokalizacji na Kozanowie. W okolicy znajdują się sklepy spożywcze, piekarnie, apteka,  przedszkole, szkoła podstawowa, szkoła średnia, uczelnia oraz wiele lokali usługowych.

W skład mieszkania wchodzą:

- pokój dzienny z klimatyzacją
- 2 sypialnie
- łazienka
- osobne WC
- kuchnia
- balkon

CENA: 630 000 PLN
CENA ZA METR: 10 055,87 PLN
METRAŻ: 62,65 m2
LICZBA POKOI: 3
PIĘTRO: 3

 
INFORMACJE DOTYCZĄCE NIERUCHOMOŚCI:
-WC po remoncie (czerwiec 2023)
-w bloku znajduje się piwnica (boks przynależny do mieszkania) oraz suszarnia

OPŁATY:
-czynsz: 830 PLN
-miejsce postojowe w garażu podziemnym w najmie 220 PLN (istnieje możliwość wykupienia)

LOKALIZACJA:
-sklep ""Stokrotka"" (80 m)
-sklep ""Biedronka"" (350 m)
-apteka (50 m)
-przystanek MPK (300 m)

Serdecznie polecam i zapraszam do kontaktu
Oliwia
nr tel: 570 830 505

Kontaktując się z agentem odpowiedzialnym za ofertę, koniecznie zapytaj jakie są warunki współpracy z naszym biurem oraz co w związku ze współpracą zapewniamy.
Dbając o bezpieczeństwo klientów sprzedających, a często także na ich wyraźne życzenie, nie podajemy adresów nieruchomości bez podpisania uprzednio umowy o pośrednictwo w kupnie lub najmie.

Wszelkie podane przez Biuro informacje nie są ofertą w rozumieniu Kodeksu Cywilnego.

Zgodnie z Ustawą o Prawie Autorskim i Prawach Pokrewnych z dnia 4 lutego 1994 roku (Dz.U.94 Nr 24 poz. 83, sprost.: Dz.U.94 Nr 43 poz.170) wykorzystywanie autorskich pomysłów, rozwiązań, kopiowanie, rozpowszechnianie zdjęć, fragmentów grafiki, tekstów opisów w celach zarobkowych, bez zezwolenia autora jest zabronione i stanowi naruszenie praw autorskich oraz podlega karze. Znaki towarowe i graficzne są własnością firmy Nieruchomości Apartament.","Pilczyce, Fabryczna, Wrocław, dolnośląskie",10 056 zł/m²,3,"62,65 m²",brak informacji,830 zł,blok,,3/3,biuro nieruchomości,pełna własność,do wykończenia,balkon,garaż/miejsce parkingowe,miejskie
Mieszkanie 47 m w centrum miasta,479 000 zł,"Mieszkanie w świetnej lokalizacji- wszędzie blisko na pieszo :) Idealne na zakup dla siebie lub pod wynajem. Dwa nieprzejściowe pokoje, kuchnia z wejściem do łazienki, korytarz i wnęka w dużym pokoju z wielką szafą komandorska. Można mieszkanie przearanżować według własnych potrzeb i koncepcji. Do toalety wcale nie trzebaby było wchodzić przez kuchnię, wnęka idealnie najadaję się na nową łazienkę a kosztem starej łazienki powiększymy kuchnię :) Mieszkanie położone na pierwszym piętrze w kamienicy sąsiadującej z nową blombą. Klatka schodowa potrzebuje ogromu miłości jak to w starych kamienicach. Piwnica duża, z wejściem od podwórka więc nie trzeba błądzić w ciemnych podziemiach. Sąsiedzi przemili i pomocni.
Czynsz niecałe 200 zł, fundusz remontowy niecałe 100 zł. Dach wymieniony, domofon, ogrzewanie elektryczne piece kumulacyjne, okna plastikowe, mieszkanie wysokie ponad 3 metry, gaz z sieci miejskiej.
Mieszkanie dostępne od ręki.
Cena podlega negocjacji :)","Przedmieście Świdnickie, Stare Miasto, Wrocław, dolnośląskie",10 191 zł/m²,2,47 m²,brak informacji,,kamienica,,1/5,prywatny,pełna własność,,,,elektryczne
57m2 Wysoka Ołtaszyn Cztery Podkowy,658 000 zł,"Na sprzedaż 3 pokoje położone na II piętrze w inwestycji Wysoka Cztery Podkowy PROFIT  Development
Składa się z :
-salon z aneksem kuchennym meble w zabudowie ze sprzętem AGD z wyjściem na balkon
- dwie sypialnie 
- toaleta z wanną
-przedpokój
  Do mieszkania przynależy miejsce parkingowe przed budynkiem oraz komórka lokatorska 4 m2
Duże przeszklenia , jasne pomieszczenia mieszkanie dwustronne , salon pd-zach, sypialnie pn-wsch.
  Dogodna komunikacja z centrum oraz w kierunku Bielan Wrocławskich, przystanek autobusowy Wysoka -Chabrowa 3 min spacerkiem.
Pełna infrastruktura , blisko przedszkole żłobek i szkoła.
Dużo zieleni, place zabaw, sklepy , restauracje, usługi, w pobliżu Wrocławski Tor Wyścigów Konnych Partynice.
Zapraszamy na prezentacje.
  BN Art.-Home
Tel. 783 188 978
  Zamieszczona oferta nie stanowi oferty w rozumieniu art66 i następnych w rozumieniu Kodeksu Cywilnego a dane w niej zawarte maja jedynie charakter informacyjny i mogą podlegać aktualizacji.","ul. Cztery Podkowy, Ołtaszyn, Krzyki, Wrocław, dolnośląskie",11 467 zł/m²,3,"57,38 m²",,,,wtórny,2/3,,pełna własność,do zamieszkania,balkon,garaż/miejsce parkingowe,kotłownia
