,cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
0,610000.0,Woskowa,4,60.25,0,0,Do remontu,True,True,1969
1,1046000.0,Zamkowa,4,77.0,5,9,Do odświeżenia,True,True,1969
2,688900.0,Rudzka,3,60.0,1,4,Do odświeżenia,True,True,1969
3,995000.0,Wita Stwosza,2,58.8,1,4,Do remontu,True,False,1969
7,488400.0,Woskowa,3,49.1,1,1,Do remontu,True,True,1969
8,639300.0,Zielna,3,58.0,0,2,Do odświeżenia,True,True,1969
9,1199000.0,Rychtalska,3,73.2,4,5,Gotowe do wprowadzenia,True,True,1969
10,870000.0,Księska,4,68.0,0,2,Do remontu,True,True,1969
11,1025000.0,Gajowa,5,118.0,1,2,Do odświeżenia,True,True,1969
12,638412.0,Konińska,3,52.91,0,4,Do odświeżenia,True,True,1969
13,720000.0,Zielna,2,48.4,4,4,Do remontu,False,False,1969
14,539000.0,Ignacego Mościckiego,4,67.5,1,1,Do remontu,True,True,1969
16,1099000.0,Długa,3,56.5,7,9,Do remontu,True,True,1969
17,649000.0,Zamkowa,3,55.0,3,3,Gotowe do wprowadzenia,True,True,1969
19,859000.0,Zielna,4,77.5,0,4,Do odświeżenia,True,False,1969
20,849000.0,Długa,3,61.0,0,9,Do remontu,True,True,1969
22,836600.0,Zielna,4,74.5,2,4,Do odświeżenia,True,False,1969
24,439999.0,Zamkowa,1,34.0,2,7,Do remontu,False,False,1969
26,1082000.0,Zamkowa,4,79.0,6,7,Do odświeżenia,True,True,1969
27,680000.0,Rymarska,3,52.0,3,4,Do remontu,True,True,1969
28,598000.0,Trzebnicka,3,52.0,4,4,Gotowe do wprowadzenia,False,False,1969
29,489000.0,Woskowa,3,49.7,1,1,Do remontu,True,True,1969
30,369000.0,Woskowa,2,32.3,0,0,Do remontu,True,True,1969
32,610394.0,Konińska,2,49.94,0,4,Do odświeżenia,True,True,1969
34,969000.0,Długa,4,71.0,1,9,Do remontu,True,True,1969
35,599000.0,Kossaka,2,50.0,4,4,Gotowe do wprowadzenia,False,True,1969
37,740784.0,Konińska,3,64.5,2,4,Do odświeżenia,True,True,1969
38,1395000.0,Na Polance,4,74.0,3,7,Gotowe do wprowadzenia,False,True,1969
39,610000.0,Gajowa,2,38.4,2,6,Gotowe do wprowadzenia,True,True,1969
40,558300.0,Boiskowa,4,59.1,1,2,Do odświeżenia,True,True,1969
42,678999.0,Kossaka,2,56.6,1,6,Gotowe do wprowadzenia,True,False,1969
43,750000.0,Birmańska,2,48.48,0,4,Gotowe do wprowadzenia,True,True,1969
44,2444000.0,Długa,5,149.5,5,9,Do odświeżenia,True,True,1969
45,519000.0,Wincentego Stysia,1,36.0,4,4,Gotowe do wprowadzenia,False,False,1969
46,449000.0,Legnicka,2,36.6,7,10,Do remontu,False,True,1969
47,650000.0,Rudzka,2,54.0,4,4,Do remontu,True,False,1969
