,Unnamed: 0,cena,ulica,pokoje,powierzchnia,piętro,liczba pięter,stan wykonczenia,balkon/ogrod/taras,miejsce parkingowe,rok budowy
0,82,970 151 zł,Ślężna,4,91.94,1,7,Do odświeżenia,True,True,1969
1,118,821 482 zł,Konduktorska,5,97.54,1,1,Do odświeżenia,True,False,1969
2,126,655 275 zł,Ślężna,3,59.93,5,7,Do odświeżenia,True,True,1969
3,139,878 386 zł,Walecznych,4,84.86,2,5,Do odświeżenia,True,True,1969
4,152,479 372 zł,Ślężna,2,41.0,3,7,Do odświeżenia,True,True,1969
5,202,416 983 zł,Kawalerzystów,1,34.07,1,3,Do odświeżenia,True,True,1969
6,227,980 299 zł,gen. Józefa Haukego-Bosaka,3,90.01,1,7,Do odświeżenia,True,True,1969
7,262,788 195 zł,Konduktorska,5,86.93,0,1,Do odświeżenia,True,False,1969
8,286,422 607 zł,Lawendowa / ul. Melisowa,2,42.21,1,2,Do odświeżenia,False,True,1969
9,308,882 126 zł,Ślężna,4,83.59,2,7,Do odświeżenia,True,True,1969
10,327,879 902 zł,Walecznych,4,84.99,1,5,Do odświeżenia,True,True,1969
11,374,810 444 zł,Konduktorska,5,89.76,0,1,Do odświeżenia,True,False,1969
12,385,808 529 zł,Konduktorska,5,89.35,0,1,Do odświeżenia,True,False,1969
13,389,808 619 zł,Konduktorska,5,89.36,0,1,Do odświeżenia,True,False,1969
14,390,823 255 zł,Konduktorska,5,97.89,1,1,Do odświeżenia,True,False,1969
15,391,569 342 zł,Ślężna,3,51.14,1,7,Do odświeżenia,True,True,1969
16,392,823 024 zł,Konduktorska,5,97.48,1,1,Do odświeżenia,True,False,1969
17,396,801 360 zł,Konduktorska,5,88.46,0,1,Do odświeżenia,True,False,1969
18,397,804 988 zł,Konduktorska,5,88.89,0,1,Do odświeżenia,True,False,1969
19,399,545 729 zł,Kurkowa,2,46.37,2,5,Do odświeżenia,True,False,1969
20,401,0.0,Konduktorska,5,96.6,1,1,Do odświeżenia,True,False,1969
21,404,0.0,Ślężna,2,41.0,4,7,Do odświeżenia,True,True,1969
22,405,822 831 zł,Konduktorska,5,96.17,1,1,Do odświeżenia,True,False,1969
23,414,826 510 zł,Konduktorska,5,96.6,1,1,Do odświeżenia,True,False,1969
24,415,784 564 zł,Konduktorska,5,86.52,0,1,Do odświeżenia,True,False,1969
25,416,788 282 zł,Konduktorska,5,86.93,0,1,Do odświeżenia,True,False,1969
26,418,805 077 zł,Konduktorska,5,88.89,0,1,Do odświeżenia,True,False,1969
27,425,1 035 117 zł,Kawalerzystów,4,103.99,1,3,Do odświeżenia,True,True,1969
28,427,823 255 zł,Konduktorska,5,97.89,1,1,Do odświeżenia,True,False,1969
29,452,502 049 zł,Kawalerzystów,2,45.62,3,3,Do odświeżenia,True,True,1969
30,530,931 164 zł,gen. Józefa Haukego-Bosaka,3,85.42,1,7,Do odświeżenia,True,True,1969
31,593,868 886 zł,Ślężna,3,80.03,6,7,Do odświeżenia,True,True,1969
32,651,810 533 zł,Konduktorska,5,89.76,0,1,Do odświeżenia,True,False,1969
33,826,485 856 zł,Ślężna,2,41.69,3,7,Do odświeżenia,True,True,1969
34,841,980 127 zł,gen. Józefa Haukego-Bosaka,3,90.11,3,7,Do odświeżenia,True,True,1969
35,848,655 147 zł,Ślężna,3,60.6,4,7,Do odświeżenia,True,True,1969
36,869,478 298 zł,Zamkowa,2,33.79,2,5,Do odświeżenia,True,False,1969
37,947,485 781 zł,Kawalerzystów,2,42.94,2,3,Do odświeżenia,True,True,1969
38,1317,415 492 zł,Bernardyńska,1,31.78,5,5,Do odświeżenia,True,True,1969
39,1371,551 743 zł,Lawendowa / ul. Melisowa,3,58.17,0,2,Do odświeżenia,False,True,1969
40,1378,573 054 zł,Opolska / ul. Turawska,3,56.27,0,3,Do odświeżenia,False,True,1969
41,1393,399 485 zł,Zamkowa,1,26.32,2,5,Do odświeżenia,True,False,1969
42,1445,993 277 zł,Władysława Reymonta,4,95.26,7,8,Do odświeżenia,True,True,1969
